Dataset,Method,Method_ID,Mean_Accuracy,Std_Accuracy,Mean_Time_s,Paper_Accuracy,Delta_vs_Paper
GunPoint,A: ROCKET+Ridge (baseline),A,1.0,0.0,5.848,1.0,0.0
GunPoint,B: ROCKET+RF (head ablation),B,0.9822,0.0063,0.234,1.0,
GunPoint,C: ROCKET+XGBoost (head ablation),C,0.9333,0.0411,2.343,1.0,
GunPoint,D: MiniROCKET (efficiency),D,0.9933,0.0,7.396,1.0,
GunPoint,E: ROCKET ppv-only (feature ablation),E,1.0,0.0,0.013,1.0,
GunPoint,F: ROCKET max-only (feature ablation),F,1.0,0.0,0.012,1.0,
ItalyPowerDemand,A: ROCKET+Ridge (baseline),A,0.9692,0.0005,0.3,0.9691,0.0001
ItalyPowerDemand,B: ROCKET+RF (head ablation),B,0.9647,0.003,0.267,0.9691,
ItalyPowerDemand,C: ROCKET+XGBoost (head ablation),C,0.9414,0.0102,3.254,0.9691,
ItalyPowerDemand,D: MiniROCKET (efficiency),D,0.9653,0.0017,0.092,0.9691,
ItalyPowerDemand,E: ROCKET ppv-only (feature ablation),E,0.9663,0.0018,0.022,0.9691,
ItalyPowerDemand,F: ROCKET max-only (feature ablation),F,0.9695,0.0005,0.018,0.9691,
Coffee,A: ROCKET+Ridge (baseline),A,1.0,0.0,0.95,1.0,0.0
Coffee,B: ROCKET+RF (head ablation),B,1.0,0.0,0.252,1.0,
Coffee,C: ROCKET+XGBoost (head ablation),C,0.9286,0.0505,1.144,1.0,
Coffee,D: MiniROCKET (efficiency),D,1.0,0.0,0.175,1.0,
Coffee,E: ROCKET ppv-only (feature ablation),E,1.0,0.0,0.008,1.0,
Coffee,F: ROCKET max-only (feature ablation),F,1.0,0.0,0.01,1.0,
Wine,A: ROCKET+Ridge (baseline),A,0.8272,0.0349,1.623,0.8074,0.0198
Wine,B: ROCKET+RF (head ablation),B,0.6358,0.0531,0.352,0.8074,
Wine,C: ROCKET+XGBoost (head ablation),C,0.7407,0.0756,3.327,0.8074,
Wine,D: MiniROCKET (efficiency),D,0.8642,0.0087,0.171,0.8074,
Wine,E: ROCKET ppv-only (feature ablation),E,0.8765,0.0175,0.012,0.8074,
Wine,F: ROCKET max-only (feature ablation),F,0.7284,0.0087,0.012,0.8074,
ECG200,A: ROCKET+Ridge (baseline),A,0.9133,0.0047,1.329,0.906,0.0073
ECG200,B: ROCKET+RF (head ablation),B,0.8767,0.0047,0.376,0.906,
ECG200,C: ROCKET+XGBoost (head ablation),C,0.8633,0.0047,8.299,0.906,
ECG200,D: MiniROCKET (efficiency),D,0.9167,0.0047,0.204,0.906,
ECG200,E: ROCKET ppv-only (feature ablation),E,0.8933,0.0047,0.111,0.906,
ECG200,F: ROCKET max-only (feature ablation),F,0.8467,0.0047,0.061,0.906,
ArrowHead,A: ROCKET+Ridge (baseline),A,0.8133,0.0071,1.054,0.8051,0.0082
ArrowHead,B: ROCKET+RF (head ablation),B,0.7733,0.0362,0.248,0.8051,
ArrowHead,C: ROCKET+XGBoost (head ablation),C,0.6362,0.0514,5.568,0.8051,
ArrowHead,D: MiniROCKET (efficiency),D,0.8571,0.0081,0.155,0.8051,
ArrowHead,E: ROCKET ppv-only (feature ablation),E,0.8457,0.0162,0.009,0.8051,
ArrowHead,F: ROCKET max-only (feature ablation),F,0.7638,0.0027,0.009,0.8051,
Chinatown,A: ROCKET+Ridge (baseline),A,0.9815,0.0014,0.171,0.9802,0.0013
Chinatown,B: ROCKET+RF (head ablation),B,0.9806,0.0027,0.207,0.9802,
Chinatown,C: ROCKET+XGBoost (head ablation),C,0.9281,0.0262,0.575,0.9802,
Chinatown,D: MiniROCKET (efficiency),D,0.9825,0.0,0.21,0.9802,
Chinatown,E: ROCKET ppv-only (feature ablation),E,0.9854,0.0,0.007,0.9802,
Chinatown,F: ROCKET max-only (feature ablation),F,0.9786,0.0014,0.006,0.9802,
